timestamp,station_id,session_id,ev_id,temperature,current,voltage,power_kw,energy_kwh,proximity,active_sessions,is_charging
1744668578.3727248,CS001,55c2d96e-6e33-4e91-b984-d178af0254b7,EV-9230,25.16,18.52,386.53,7.16,0.239,155.54,2,0
1744668580.377719,CS001,a07a849e-999a-4a26-a787-3469165a078d,EV-2604,33.41,32.97,387.08,12.76,0.425,114.74,3,1
1744668582.3787556,CS001,9163a87e-786d-4916-b6f8-17b632f24464,EV-1131,30.86,32.99,394.02,13.0,0.433,90.07,3,1
1744668584.3796763,CS001,86307ff3-2e04-4b0c-84a7-b82c816728d9,EV-7278,31.76,29.31,390.91,11.46,0.382,89.0,3,1
1744668586.3806849,CS001,44aae4af-6beb-4f51-a58a-455f01649751,EV-4631,34.02,31.03,391.09,12.14,0.405,76.5,2,0
1744668588.381627,CS001,2fcd19f7-76ad-4efb-80cf-79c69f943c73,EV-7793,33.15,28.75,391.26,11.25,0.375,86.01,2,0
1744668590.38255,CS001,cecb6c28-54b6-4480-a9f7-3a20eba6ff79,EV-6018,33.49,31.59,392.04,12.38,0.413,97.92,2,0
1744668592.383513,CS001,55e8df10-7039-46b6-9a12-03fa3b76f86b,EV-7249,32.7,32.03,393.34,12.6,0.42,108.14,2,0
1744668594.3843963,CS001,26e4aed0-ca5f-48f8-90bb-3ec3f3295ab5,EV-2139,33.74,30.86,394.37,12.17,0.406,102.27,2,0
1744668596.3853076,CS001,8f412be5-f4e2-42da-bf90-3adb4cb8ca25,EV-5363,33.41,29.24,395.91,11.58,0.386,105.83,1,0
1744668598.386168,CS001,0a298dec-2bd7-42f8-9f72-a90b913fb9da,EV-6957,34.34,30.86,396.68,12.24,0.408,103.52,1,0
1744668600.3866448,CS001,f03566a1-618c-40d1-b0e7-b79e4296c20d,EV-1815,34.59,32.28,397.12,12.82,0.427,99.02,2,1
1744668602.3871307,CS001,60d85c73-8009-438c-810d-c4a1b8cc45e0,EV-2534,34.52,33.59,395.74,13.29,0.443,96.89,2,0
1744668604.3876207,CS001,772ddbc8-a38d-43e6-bc98-926af428d24d,EV-7394,34.33,32.29,395.85,12.78,0.426,94.12,1,0
1744668606.38845,CS001,25800ad4-0c6a-493b-bfd4-e0f483b2ede3,EV-5577,33.89,30.76,396.44,12.19,0.406,100.71,1,1
1744668608.3894143,CS001,45f46fc7-5d4b-423d-b1a6-972505cc49e1,EV-2432,33.54,30.3,397.43,12.04,0.401,106.57,1,0
1744668610.3905272,CS001,8baf165e-171d-45e2-ba9b-79fb19c8a939,EV-2634,34.03,31.18,397.49,12.39,0.413,104.85,1,0
1744668612.3916469,CS001,623a3482-b5d5-46a2-b5e8-b05c02183aa5,EV-3769,34.08,31.36,397.93,12.48,0.416,105.08,1,0
1744668614.3927393,CS001,2b49afe6-582c-4cfb-9363-92a93671723e,EV-4792,33.67,32.34,397.15,12.84,0.428,109.59,1,1
1744668616.3938258,CS001,ccb07409-e0f6-4dc4-942b-99e71ee4e139,EV-9481,33.79,32.9,397.55,13.08,0.436,107.94,0,0
1744668618.3947752,CS001,bc9a2cd3-5935-493f-a908-236d5469f94a,EV-9811,34.12,32.47,398.22,12.93,0.431,102.1,1,1
1744668620.3957684,CS001,b774e4dc-ee02-4d91-876c-f39848c8558f,EV-8406,33.64,32.49,397.75,12.92,0.431,97.64,1,1
1744668622.3967144,CS001,8c70ee5e-d1e1-4900-978e-3f57a1ddd17b,EV-5627,33.19,31.38,396.94,12.46,0.415,102.09,2,1
1744668624.397727,CS001,6d3edec4-5dfa-449c-a670-084cce7b2ef8,EV-7102,33.28,31.09,397.35,12.35,0.412,104.97,1,0
1744668626.3986342,CS001,6aef10b0-7fc2-4b15-836d-6c5086f5427f,EV-6486,33.07,31.34,396.64,12.43,0.414,104.73,2,1
1744668628.3995664,CS001,62f92447-002e-4177-b4b4-512b26bc2a8a,EV-1643,33.6,30.95,397.48,12.3,0.41,102.94,1,0
1744668630.4004207,CS001,4d51ef69-b0c3-4885-b027-56f146ba25e8,EV-7530,33.43,30.91,396.97,12.27,0.409,99.42,1,1
1744668632.4015603,CS001,900f6fee-09c6-4386-aabf-05e45606fa8c,EV-8784,33.63,30.5,397.57,12.13,0.404,95.19,1,1
1744668634.403271,CS001,ef0d6c74-e8a1-40c8-930c-1e9f63b72a14,EV-4555,33.38,31.04,397.4,12.34,0.411,97.56,1,0
1744668636.4041924,CS001,b9216594-c4f7-4fd7-8d43-676f83d9508b,EV-1087,33.84,30.5,397.43,12.12,0.404,99.34,1,1
1744668638.4052162,CS001,e3ded005-7869-4a49-9308-d19937235c9a,EV-3556,34.04,30.01,398.06,11.95,0.398,101.76,0,0
1744668640.4061534,CS001,121077a8-eddd-44d0-a60d-f1a06d555a58,EV-5452,33.82,29.89,397.47,11.88,0.396,99.25,0,0
